User ID,Day Of Week,,Show,Season,Episode,Time Watched,Gender,Completed,Time of Day,,,
117752,12-02-2019,Tuesday,Stranger Things,2,6,51,Female,1,1,,,
28615,12-02-2019,Tuesday,Stranger Things,2,6,2,Female,0,0,,,
72226,12-02-2019,Tuesday,Stranger Things,2,3,5,Female,0,1,,,
62565,09-02-2019,Saturday,Stranger Things,2,10,59,Female,1,1,,,
3494,12-02-2019,Tuesday,Stranger Things,2,1,33,Female,1,0,,,
17818,11-02-2019,Monday,Stranger Things,1,6,20,Male,0,0,,,
66427,10-02-2019,Sunday,Stranger Things,1,10,29,Female,0,1,,,
35135,12-02-2019,Tuesday,Stranger Things,2,5,27,Female,,0,,,
100055,10-02-2019,Sunday,Stranger Things,1,6,48,Male,,0,,,
80609,11-02-2019,Monday,Stranger Things,2,9,5,Female,,1,,,
108824,09-02-2019,Saturday,Stranger Things,1,4,40,Female,,1,,,
11035,12-02-2019,Tuesday,Stranger Things,2,4,39,Male,,0,,,
56541,10-02-2019,Sunday,Stranger Things,1,1,5,Male,,0,,,
6867,11-02-2019,Monday,Stranger Things,1,1,43,Female,,0,,,
23828,10-02-2019,Sunday,Stranger Things,2,3,12,Female,,0,,,
118833,09-02-2019,Saturday,Stranger Things,2,8,51,Male,,1,,,
111801,10-02-2019,Sunday,Stranger Things,2,10,66,Female,,0,,,
94806,12-02-2019,Tuesday,Stranger Things,2,6,5,Female,,0,,,
54418,12-02-2019,Tuesday,Stranger Things,1,1,30,Female,,0,,,
31996,12-02-2019,Tuesday,Stranger Things,2,6,6,Male,0,0,,,
97717,09-02-2019,Saturday,Stranger Things,2,6,10,Male,0,0,,,
13665,12-02-2019,Tuesday,Stranger Things,1,8,29,Male,0,0,,,
91418,11-02-2019,Monday,Stranger Things,1,8,30,Male,1,1,,,
123401,11-02-2019,Monday,Stranger Things,1,2,42,Female,1,0,,,
11896,10-02-2019,Sunday,Stranger Things,1,2,20,Male,0,0,,,
35588,09-02-2019,Saturday,Stranger Things,2,10,40,Female,1,1,,,
85408,12-02-2019,Tuesday,Stranger Things,2,7,13,Female,0,1,,,
